Ins+3rd+Pl+Fut+Imp	InsImlwAt
eIN+2nd+Pl+Pst+Perf	eINeaImE
eIN+2nd+Du+Prs+Imp	eINUrTwAt
eIN+2nd+Du+Prs+Perf	eINUrT
eIN+2nd+Du+Fut+Imp	eINITwAt
eIN+2nd+Du+Fut+Perf	eINIT
eIN+2nd+Du+Pst+Imp	eINUrTawAt
eIN+2nd+Du+Pst+Perf	eINUrTa
eIN+2nd+Sg+Fut+Imp	eINiniwAt
eIN+2nd+Sg+Fut+Perf	eINini
eIN+2nd+Sg+Prs+Imp	eINEwAt
eIN+2nd+Sg+Prs+Perf	eINE
eIN+2nd+Sg+Pst+Imp	eINEmawAt
eIN+2nd+Sg+Pst+Perf	eINEma
eIN+1st+Pl+Exc+Fut+Imp	eINaITiwAt
eIN+1st+Pl+Exc+Fut+Perf	eINaITi
eIN+1st+Pl+Exc+Prs+Imp	eINaITwAt
eIN+1st+Pl+Exc+Prs+Perf	eINaIT
eIN+1st+Pl+Exc+Pst+Imp	eINaITEwAt
eIN+1st+Pl+Exc+Pst+Perf	eINaITE
eIN+1st+Pl+Inc+Fut+Imp	eINEITiwAt
eIN+1st+Pl+Inc+Fut+Perf	eINEITi
eIN+1st+Pl+Inc+Prs+Imp	eINEITwAt
eIN+1st+Pl+Inc+Prs+Perf	eINEIT
eIN+1st+Pl+Inc+Pst+Imp	eINEITEwAt
eIN+1st+Pl+Inc+Pst+Perf	eINEITE
eIN+1st+Du+Exc+Fut+Perf	eINIlt
eIN+1st+Du+Exc+Fut+Imp	eINIlnwAt
eIN+1st+Du+Exc+Prs+Imp	eINEmsawAt
eIN+1st+Du+Exc+Prs+Perf	eINEmsa
eIN+1st+Du+Exc+Pst+Perf	eINEmsAlt
eIN+1st+Du+Exc+Pst+Imp	eINEmsAlnwAt
eIN+1st+Du+Inc+Fut+Imp	eINIlawAt
eIN+1st+Du+Inc+Fut+Perf	eINIla
eIN+1st+Du+Inc+Prs+Imp	eINEmswAt
eIN+1st+Du+Inc+Prs+Perf	eINEms
eIN+1st+Du+Inc+Pst+Imp	eINEmsalawAt
eIN+1st+Du+Inc+Pst+Perf	eINEmsala
eIN+1st+Sg+Fut+Imp	eINiwiwAt
eIN+1st+Sg+Fut+Perf	eINiwi
eIN+1st+Sg+Prs+Perf	eINEt
eIN+1st+Sg+Prs+Imp	eINEnwAt
eIN+1st+Sg+Pst+Imp	eINEmwAt
eIN+1st+Sg+Pst+Perf	eINEm
Ummi+3rd+Pl+Fut+Imp	UmmiImlwAt
Ummi+3rd+Pl+Fut+Perf	UmmiIml
Ummi+3rd+Pl+Prs+Perf	Ummilit
Ummi+3rd+Pl+Prs+Imp	UmmilinwAt
Ummi+3rd+Pl+Pst+Imp	UmmilinEwAt
Ummi+3rd+Pl+Pst+Perf	UmmilinE
Ummi+3rd+Du+Fut+Imp	UmmiImwAt
Ummi+3rd+Du+Fut+Perf	UmmiIm
Ummi+3rd+Du+Prs+Perf	UmmilIt
Ummi+3rd+Du+Prs+Imp	UmmilInwAt
Ummi+3rd+Du+Pst+Imp	UmmilInawAt
Ummi+3rd+Du+Pst+Perf	UmmilIna
Ummi+3rd+Sg+Fut+Imp	UmmiimawAt
Ummi+3rd+Sg+Fut+Perf	Ummiima
Ummi+3rd+Sg+Prs+Imp	UmmiawAt
Ummi+3rd+Sg+Prs+Perf	Ummia
Ummi+3rd+Sg+Pst+Imp	UmmiamawAt
Ummi+3rd+Sg+Pst+Perf	Ummiama
Ummi+2nd+Pl+Fut+Imp	UmmiITlwAt
Ummi+2nd+Pl+Fut+Perf	UmmiITl
Ummi+2nd+Pl+Prs+Imp	UmmieaIwAt
Ummi+2nd+Pl+Prs+Perf	UmmieaI
Ummi+2nd+Pl+Pst+Imp	UmmieaImEwAt
Ummi+2nd+Pl+Pst+Perf	UmmieaImE
Ummi+2nd+Du+Prs+Imp	UmmiUrTwAt
Ummi+2nd+Du+Prs+Perf	UmmiUrT
Ummi+2nd+Du+Fut+Imp	UmmiITwAt
Ummi+2nd+Du+Fut+Perf	UmmiIT
Ummi+2nd+Du+Pst+Imp	UmmiUrTawAt
Ummi+2nd+Du+Pst+Perf	UmmiUrTa
Ummi+2nd+Sg+Fut+Imp	UmmiiniwAt
Ummi+2nd+Sg+Fut+Perf	Ummiini
Ummi+2nd+Sg+Prs+Imp	UmmiEwAt
Ummi+2nd+Sg+Prs+Perf	UmmiE
Ummi+2nd+Sg+Pst+Imp	UmmiEmawAt
Ummi+2nd+Sg+Pst+Perf	UmmiEma
Ummi+1st+Pl+Exc+Fut+Imp	UmmiaITiwAt
Ummi+1st+Pl+Exc+Fut+Perf	UmmiaITi
Ummi+1st+Pl+Exc+Prs+Imp	UmmiaITwAt
Ummi+1st+Pl+Exc+Prs+Perf	UmmiaIT
Ummi+1st+Pl+Exc+Pst+Imp	UmmiaITEwAt
Ummi+1st+Pl+Exc+Pst+Perf	UmmiaITE
Ummi+1st+Pl+Inc+Fut+Imp	UmmiEITiwAt
Ummi+1st+Pl+Inc+Fut+Perf	UmmiEITi
Ummi+1st+Pl+Inc+Prs+Imp	UmmiEITwAt
Ummi+1st+Pl+Inc+Prs+Perf	UmmiEIT
Ummi+1st+Pl+Inc+Pst+Imp	UmmiEITEwAt
Ummi+1st+Pl+Inc+Pst+Perf	UmmiEITE
Ummi+1st+Du+Exc+Fut+Perf	UmmiIlt
Ummi+1st+Du+Exc+Fut+Imp	UmmiIlnwAt
Ummi+1st+Du+Exc+Prs+Imp	UmmiEmsawAt
Ummi+1st+Du+Exc+Prs+Perf	UmmiEmsa
Ummi+1st+Du+Exc+Pst+Perf	UmmiEmsAlt
Ummi+1st+Du+Exc+Pst+Imp	UmmiEmsAlnwAt
Ummi+1st+Du+Inc+Fut+Imp	UmmiIlawAt
Ummi+1st+Du+Inc+Fut+Perf	UmmiIla
Ummi+1st+Du+Inc+Prs+Imp	UmmiEmswAt
Ummi+1st+Du+Inc+Prs+Perf	UmmiEms
Ummi+1st+Du+Inc+Pst+Imp	UmmiEmsalawAt
Ummi+1st+Du+Inc+Pst+Perf	UmmiEmsala
Ummi+1st+Sg+Fut+Imp	UmmiiwiwAt
Ummi+1st+Sg+Fut+Perf	Ummiiwi
Ummi+1st+Sg+Prs+Perf	UmmiEt
Ummi+1st+Sg+Prs+Imp	UmmiEnwAt
Ummi+1st+Sg+Pst+Imp	UmmiEmwAt
Ummi+1st+Sg+Pst+Perf	UmmiEm
Uss+3rd+Pl+Fut+Imp	UssImlwAt
Uss+3rd+Pl+Fut+Perf	UssIml
Uss+3rd+Pl+Prs+Perf	Usslit
Uss+3rd+Pl+Prs+Imp	UsslinwAt
Uss+3rd+Pl+Pst+Imp	UsslinEwAt
Uss+3rd+Pl+Pst+Perf	UsslinE
Uss+3rd+Du+Fut+Imp	UssImwAt
Uss+3rd+Du+Fut+Perf	UssIm
Uss+3rd+Du+Prs+Perf	UsslIt
Uss+3rd+Du+Prs+Imp	UsslInwAt
Uss+3rd+Du+Pst+Imp	UsslInawAt
Uss+3rd+Du+Pst+Perf	UsslIna
Uss+3rd+Sg+Fut+Imp	UssimawAt
Uss+3rd+Sg+Fut+Perf	Ussima
Uss+3rd+Sg+Prs+Imp	UssawAt
Uss+3rd+Sg+Prs+Perf	Ussa
Uss+3rd+Sg+Pst+Imp	UssamawAt
Uss+3rd+Sg+Pst+Perf	Ussama
Uss+2nd+Pl+Fut+Imp	UssITlwAt
Uss+2nd+Pl+Fut+Perf	UssITl
Uss+2nd+Pl+Prs+Imp	UsseaIwAt
Uss+2nd+Pl+Prs+Perf	UsseaI
Uss+2nd+Pl+Pst+Imp	UsseaImEwAt
Uss+2nd+Pl+Pst+Perf	UsseaImE
Uss+2nd+Du+Prs+Imp	UssUrTwAt
Uss+2nd+Du+Prs+Perf	UssUrT
Uss+2nd+Du+Fut+Imp	UssITwAt
Uss+2nd+Du+Fut+Perf	UssIT
Uss+2nd+Du+Pst+Imp	UssUrTawAt
Uss+2nd+Du+Pst+Perf	UssUrTa
Uss+2nd+Sg+Fut+Imp	UssiniwAt
Uss+2nd+Sg+Fut+Perf	Ussini
Uss+2nd+Sg+Prs+Imp	UssEwAt
Uss+2nd+Sg+Prs+Perf	UssE
Uss+2nd+Sg+Pst+Imp	UssEmawAt
Uss+2nd+Sg+Pst+Perf	UssEma
Uss+1st+Pl+Exc+Fut+Imp	UssaITiwAt
Uss+1st+Pl+Exc+Fut+Perf	UssaITi
Uss+1st+Pl+Exc+Prs+Imp	UssaITwAt
Uss+1st+Pl+Exc+Prs+Perf	UssaIT
Uss+1st+Pl+Exc+Pst+Imp	UssaITEwAt
Uss+1st+Pl+Exc+Pst+Perf	UssaITE
Uss+1st+Pl+Inc+Fut+Imp	UssEITiwAt
Uss+1st+Pl+Inc+Fut+Perf	UssEITi
Uss+1st+Pl+Inc+Prs+Imp	UssEITwAt
Uss+1st+Pl+Inc+Prs+Perf	UssEIT
Uss+1st+Pl+Inc+Pst+Imp	UssEITEwAt
Uss+1st+Pl+Inc+Pst+Perf	UssEITE
Uss+1st+Du+Exc+Fut+Perf	UssIlt
Uss+1st+Du+Exc+Fut+Imp	UssIlnwAt
Uss+1st+Du+Exc+Prs+Imp	UssEmsawAt
Uss+1st+Du+Exc+Prs+Perf	UssEmsa
Uss+1st+Du+Exc+Pst+Perf	UssEmsAlt
Uss+1st+Du+Exc+Pst+Imp	UssEmsAlnwAt
Uss+1st+Du+Inc+Fut+Imp	UssIlawAt
Uss+1st+Du+Inc+Fut+Perf	UssIla
Uss+1st+Du+Inc+Prs+Imp	UssEmswAt
Uss+1st+Du+Inc+Prs+Perf	UssEms
Uss+1st+Du+Inc+Pst+Imp	UssEmsalawAt
Uss+1st+Du+Inc+Pst+Perf	UssEmsala
Uss+1st+Sg+Fut+Imp	UssiwiwAt
Uss+1st+Sg+Fut+Perf	Ussiwi
Uss+1st+Sg+Prs+Perf	UssEt
Uss+1st+Sg+Prs+Imp	UssEnwAt
Uss+1st+Sg+Pst+Imp	UssEmwAt
Uss+1st+Sg+Pst+Perf	UssEm
alz+3rd+Pl+Fut+Imp	alzImlwAt
alz+3rd+Pl+Fut+Perf	alzIml
alz+3rd+Pl+Prs+Perf	alzlit
alz+3rd+Pl+Prs+Imp	alzlinwAt
alz+3rd+Pl+Pst+Imp	alzlinEwAt
alz+3rd+Pl+Pst+Perf	alzlinE
alz+3rd+Du+Fut+Imp	alzImwAt
alz+3rd+Du+Fut+Perf	alzIm
alz+3rd+Du+Prs+Perf	alzlIt
alz+3rd+Du+Prs+Imp	alzlInwAt
alz+3rd+Du+Pst+Imp	alzlInawAt
alz+3rd+Du+Pst+Perf	alzlIna
alz+3rd+Sg+Fut+Imp	alzimawAt
alz+3rd+Sg+Fut+Perf	alzima
alz+3rd+Sg+Prs+Imp	alzawAt
alz+3rd+Sg+Prs+Perf	alza
alz+3rd+Sg+Pst+Imp	alzamawAt
alz+3rd+Sg+Pst+Perf	alzama
alz+2nd+Pl+Fut+Imp	alzITlwAt
alz+2nd+Pl+Fut+Perf	alzITl
alz+2nd+Pl+Prs+Imp	alzeaIwAt
alz+2nd+Pl+Prs+Perf	alzeaI
alz+2nd+Pl+Pst+Imp	alzeaImEwAt
alz+2nd+Pl+Pst+Perf	alzeaImE
alz+2nd+Du+Prs+Imp	alzUrTwAt
alz+2nd+Du+Prs+Perf	alzUrT
alz+2nd+Du+Fut+Imp	alzITwAt
alz+2nd+Du+Fut+Perf	alzIT
alz+2nd+Du+Pst+Imp	alzUrTawAt
alz+2nd+Du+Pst+Perf	alzUrTa
alz+2nd+Sg+Fut+Imp	alziniwAt
alz+2nd+Sg+Fut+Perf	alzini
alz+2nd+Sg+Prs+Imp	alzEwAt
alz+2nd+Sg+Prs+Perf	alzE
alz+2nd+Sg+Pst+Imp	alzEmawAt
alz+2nd+Sg+Pst+Perf	alzEma
alz+1st+Pl+Exc+Fut+Imp	alzaITiwAt
alz+1st+Pl+Exc+Fut+Perf	alzaITi
alz+1st+Pl+Exc+Prs+Imp	alzaITwAt
alz+1st+Pl+Exc+Prs+Perf	alzaIT
alz+1st+Pl+Exc+Pst+Imp	alzaITEwAt
alz+1st+Pl+Exc+Pst+Perf	alzaITE
alz+1st+Pl+Inc+Fut+Imp	alzEITiwAt
alz+1st+Pl+Inc+Fut+Perf	alzEITi
alz+1st+Pl+Inc+Prs+Imp	alzEITwAt
alz+1st+Pl+Inc+Prs+Perf	alzEIT
alz+1st+Pl+Inc+Pst+Imp	alzEITEwAt
alz+1st+Pl+Inc+Pst+Perf	alzEITE
alz+1st+Du+Exc+Fut+Perf	alzIlt
alz+1st+Du+Exc+Fut+Imp	alzIlnwAt
alz+1st+Du+Exc+Prs+Imp	alzEmsawAt
alz+1st+Du+Exc+Prs+Perf	alzEmsa
alz+1st+Du+Exc+Pst+Perf	alzEmsAlt
alz+1st+Du+Exc+Pst+Imp	alzEmsAlnwAt
alz+1st+Du+Inc+Fut+Imp	alzIlawAt
alz+1st+Du+Inc+Fut+Perf	alzIla
alz+1st+Du+Inc+Prs+Imp	alzEmswAt
alz+1st+Du+Inc+Prs+Perf	alzEms
alz+1st+Du+Inc+Pst+Imp	alzEmsalawAt
alz+1st+Du+Inc+Pst+Perf	alzEmsala
alz+1st+Sg+Fut+Imp	alziwiwAt
alz+1st+Sg+Fut+Perf	alziwi
alz+1st+Sg+Prs+Perf	alzEt
alz+1st+Sg+Prs+Imp	alzEnwAt
alz+1st+Sg+Pst+Imp	alzEmwAt
alz+1st+Sg+Pst+Perf	alzEm
anInEm+Pl+Poss	anInEmsfE
anInEm+Pl+Adp	anInEm@
anInEm+Pl+Acc	anInEmr
anInEm+Pl+Nom	anInEmHe
anInEm+Du+Poss	anInEmwE
anInEm+Du+Adp	anInEmi
anInEm+Du+Acc	anInEmir
anInEm+Du+Nom	anInEmm
anInEm+Sg+Poss	anInEmIt
anInEm+Sg+Adp	anInEmA
anInEm+Sg+Acc	anInEmAr
anInEm+Sg+Nom	anInEm
SSeSS+Pl+Poss	SSeSSsfE
SSeSS+Pl+Adp	SSeSS@
SSeSS+Pl+Acc	SSeSSr
SSeSS+Pl+Nom	SSeSSHe
SSeSS+Du+Poss	SSeSSwE
SSeSS+Du+Adp	SSeSSi
SSeSS+Du+Acc	SSeSSir
SSeSS+Du+Nom	SSeSSm
SSeSS+Sg+Poss	SSeSSIt
SSeSS+Sg+Adp	SSeSSA
SSeSS+Sg+Acc	SSeSSAr
SSeSS+Sg+Nom	SSeSS
xEt+Sg+Nom	xEt
xEt+Pl+Poss	xEnsfE
xEt+Pl+Adp	xEn@
xEt+Pl+Acc	xEnr
xEt+Pl+Nom	xEnHe
xEt+Du+Poss	xEnwE
xEt+Du+Adp	xEni
xEt+Du+Acc	xEnir
xEt+Du+Nom	xEnm
xEt+Sg+Poss	xEnIt
xEt+Sg+Adp	xEnA
xEt+Sg+Acc	xEnAr
Pro+Sg+3rd+Acc	ZaAr
Pro+Sg+3rd+Adp	ZaA
Pro+Sg+3rd+Nom	Za
Hei+3rd+Pl+Fut+Imp	HeiImlwAt
Hei+3rd+Pl+Fut+Perf	HeiIml
Hei+3rd+Pl+Prs+Perf	Heilit
Hei+3rd+Pl+Prs+Imp	HeilinwAt
Hei+3rd+Pl+Pst+Imp	HeilinEwAt
Hei+3rd+Pl+Pst+Perf	HeilinE
Hei+3rd+Du+Fut+Imp	HeiImwAt
Hei+3rd+Du+Fut+Perf	HeiIm
Hei+3rd+Du+Prs+Perf	HeilIt
Hei+3rd+Du+Prs+Imp	HeilInwAt
Hei+3rd+Du+Pst+Imp	HeilInawAt
Hei+3rd+Du+Pst+Perf	HeilIna
Hei+3rd+Sg+Fut+Imp	HeiimawAt
Hei+3rd+Sg+Fut+Perf	Heiima
Hei+3rd+Sg+Prs+Imp	HeiawAt
Hei+3rd+Sg+Prs+Perf	Heia
Hei+3rd+Sg+Pst+Imp	HeiamawAt
Hei+3rd+Sg+Pst+Perf	Heiama
Hei+2nd+Pl+Fut+Imp	HeiITlwAt
Hei+2nd+Pl+Fut+Perf	HeiITl
Hei+2nd+Pl+Prs+Imp	HeieaIwAt
Hei+2nd+Pl+Prs+Perf	HeieaI
Hei+2nd+Pl+Pst+Imp	HeieaImEwAt
Hei+2nd+Pl+Pst+Perf	HeieaImE
Hei+2nd+Du+Prs+Imp	HeiUrTwAt
Hei+2nd+Du+Prs+Perf	HeiUrT
Hei+2nd+Du+Fut+Imp	HeiITwAt
Hei+2nd+Du+Fut+Perf	HeiIT
Hei+2nd+Du+Pst+Imp	HeiUrTawAt
Hei+2nd+Du+Pst+Perf	HeiUrTa
Hei+2nd+Sg+Fut+Imp	HeiiniwAt
Hei+2nd+Sg+Fut+Perf	Heiini
Hei+2nd+Sg+Prs+Imp	HeiEwAt
Hei+2nd+Sg+Prs+Perf	HeiE
Hei+2nd+Sg+Pst+Imp	HeiEmawAt
Hei+2nd+Sg+Pst+Perf	HeiEma
Hei+1st+Pl+Exc+Fut+Imp	HeiaITiwAt
Hei+1st+Pl+Exc+Fut+Perf	HeiaITi
Hei+1st+Pl+Exc+Prs+Imp	HeiaITwAt
Hei+1st+Pl+Exc+Prs+Perf	HeiaIT
Hei+1st+Pl+Exc+Pst+Imp	HeiaITEwAt
Hei+1st+Pl+Exc+Pst+Perf	HeiaITE
Hei+1st+Pl+Inc+Fut+Imp	HeiEITiwAt
Hei+1st+Pl+Inc+Fut+Perf	HeiEITi
Hei+1st+Pl+Inc+Prs+Imp	HeiEITwAt
Hei+1st+Pl+Inc+Prs+Perf	HeiEIT
Hei+1st+Pl+Inc+Pst+Imp	HeiEITEwAt
Hei+1st+Pl+Inc+Pst+Perf	HeiEITE
